trial,pair_ID,condition,set_number,within_trial,pair_similarity
13,40,3,2,5,0.3076923076923077
14,40,3,2,6,0.3076923076923077
15,40,3,2,7,0.3076923076923077
16,40,3,2,8,0.3076923076923077
1,41,3,1,1,0.23076923076923073
2,41,3,1,2,0.3076923076923077
3,41,3,1,3,0.5384615384615384
4,41,3,1,4,0.3846153846153846
5,41,3,1,5,0.3846153846153846
6,41,3,1,6,0.46153846153846156
7,41,3,1,7,0.3076923076923077
8,41,3,1,8,0.15384615384615385
9,41,3,2,1,0.46153846153846156
10,41,3,2,2,0.3846153846153846
11,41,3,2,3,0.5384615384615384
12,41,3,2,4,0.6153846153846154
13,41,3,2,5,0.5384615384615384
14,41,3,2,6,0.5384615384615384
15,41,3,2,7,0.46153846153846156
16,41,3,2,8,0.46153846153846156
1,42,3,1,1,0.3076923076923077
2,42,3,1,2,0.23076923076923073
3,42,3,1,3,0.46153846153846156
4,42,3,1,4,0.23076923076923073
5,42,3,1,5,0.46153846153846156
6,42,3,1,6,0.23076923076923073
7,42,3,1,7,0.15384615384615385
8,42,3,1,8,0.3076923076923077
9,42,3,2,1,0.23076923076923073
10,42,3,2,2,0.15384615384615385
11,42,3,2,3,0.07692307692307687
12,42,3,2,4,0.0
13,42,3,2,5,0.23076923076923073
14,42,3,2,6,0.23076923076923073
15,42,3,2,7,0.3846153846153846
16,42,3,2,8,0.3846153846153846
1,43,3,1,1,0.46153846153846156
2,43,3,1,2,0.3846153846153846
3,43,3,1,3,0.5384615384615384
4,43,3,1,4,0.3846153846153846
5,43,3,1,5,0.3846153846153846
6,43,3,1,6,0.3076923076923077
7,43,3,1,7,0.46153846153846156
8,43,3,1,8,0.3846153846153846
9,43,3,2,1,0.3846153846153846
10,43,3,2,2,0.46153846153846156
11,43,3,2,3,0.3846153846153846
12,43,3,2,4,0.3846153846153846
13,43,3,2,5,0.3846153846153846
14,43,3,2,6,0.3846153846153846
15,43,3,2,7,0.6153846153846154
16,43,3,2,8,0.3846153846153846
1,44,3,1,1,0.3076923076923077
2,44,3,1,2,0.46153846153846156
3,44,3,1,3,0.3846153846153846
4,44,3,1,4,0.5384615384615384
5,44,3,1,5,0.46153846153846156
6,44,3,1,6,0.5384615384615384
7,44,3,1,7,0.5384615384615384
8,44,3,1,8,0.5384615384615384
9,44,3,2,1,0.23076923076923073
10,44,3,2,2,0.23076923076923073
11,44,3,2,3,0.46153846153846156
12,44,3,2,4,0.3076923076923077
13,44,3,2,5,0.3846153846153846
14,44,3,2,6,0.15384615384615385
15,44,3,2,7,0.3076923076923077
16,44,3,2,8,0.46153846153846156
1,45,3,1,1,0.3846153846153846
2,45,3,1,2,0.3076923076923077
3,45,3,1,3,0.3076923076923077
4,45,3,1,4,0.6923076923076923
5,45,3,1,5,0.5384615384615384
6,45,3,1,6,0.5384615384615384
7,45,3,1,7,0.46153846153846156
8,45,3,1,8,0.6153846153846154
9,45,3,2,1,0.3076923076923077
10,45,3,2,2,0.3846153846153846
